Peak1,Peak2,coaccess
chr2-14953367-14955082,chr4-6654237-6654921,0.5563814458188425
chr2-14953367-14955082,chr4-34598017-34598898,0.3511181602857691
chr2-14953367-14955082,chr5-37093880-37095092,0.5623424658598057
chr2-14953367-14955082,chr2-24477595-24479291,0.8151822694421351
chr2-14953367-14955082,chr1-28948416-28950016,0.5168112269624229
chr2-14953367-14955082,chr4-38876684-38878652,0.7598233422079399
chr2-14953367-14955082,chr2-40280002-40281338,0.6553665974840652
chr2-14953367-14955082,chr1-5965050-5965362,0.7514744486070475
chr2-14953367-14955082,chr4-12718070-12718472,0.7734381755887478
chr2-14953367-14955082,chr3-34436048-34437014,0.4606601767789447
chr2-14953367-14955082,chr5-32378291-32380124,0.5249583712341521
chr2-14953367-14955082,chr3-25435642-25436244,0.7675323533553935
chr2-14953367-14955082,chr4-13984808-13985936,0.7862260508162717
chr2-14953367-14955082,chr2-42167719-42168559,0.7433557377872515
chr2-14953367-14955082,chr2-35109026-35109488,0.6440201936940764
chr2-14953367-14955082,chr3-6184502-6184710,0.3918339268938828
chr2-14953367-14955082,chr3-24101383-24103026,0.404892274717453
chr2-14953367-14955082,chr4-12002109-12003559,0.6190495086215081
chr2-14953367-14955082,chr4-13344096-13344693,0.4209287319929667
chr2-43734783-43735938,chr2-47792155-47793054,0.37111159219286766
chr2-43734783-43735938,chr2-45738553-45739529,0.5771005870027179
chr2-43734783-43735938,chr2-17845364-17846461,0.6098213043215129
chr2-43734783-43735938,chr5-23857742-23858006,0.3219293399636515
chr2-43734783-43735938,chr1-49170987-49171834,0.8422956496565588
chr2-43734783-43735938,chr5-47626914-47627797,0.8670473862580743
chr2-43734783-43735938,chr3-15881728-15883690,0.7520302496525263
chr2-43734783-43735938,chr5-44156515-44157239,0.4189589301956875
chr2-43734783-43735938,chr2-24477595-24479291,0.7313759344671811
chr2-43734783-43735938,chr4-38876684-38878652,0.6227698430998688
chr2-43734783-43735938,chr4-42878167-42879764,0.4982344503518581
chr2-43734783-43735938,chr1-19273392-19275112,0.41743587078260486
chr2-43734783-43735938,chr4-12718070-12718472,0.5695730225546178
chr2-43734783-43735938,chr3-25435642-25436244,0.8365267855666199
chr2-43734783-43735938,chr2-34267858-34269229,0.38319938478161586
chr2-43734783-43735938,chr3-4612600-4613272,0.4869253070629478
chr2-43734783-43735938,chr2-35109026-35109488,0.511572500618336
chr2-43734783-43735938,chr1-24448674-24450556,0.5053350254339903
chr2-43734783-43735938,chr1-32146082-32146434,0.3041193601484569
chr5-35817184-35817843,chr2-47792155-47793054,0.5305051076399008
chr5-35817184-35817843,chr5-11959014-11960511,0.7758458826921337
chr5-35817184-35817843,chr4-29563547-29565137,0.30201750429653557
chr5-35817184-35817843,chr4-3669995-3670703,0.7738800690443373
chr5-35817184-35817843,chr3-14187277-14188581,0.4776710248945788
chr5-35817184-35817843,chr2-20435721-20436916,0.5925591060475646
chr5-35817184-35817843,chr5-25584529-25585607,0.6150427653952637
chr5-35817184-35817843,chr5-23857742-23858006,0.78147598839874
chr5-35817184-35817843,chr1-49170987-49171834,0.5499841714231923
chr5-35817184-35817843,chr3-39334882-39335370,0.6020304301314328
chr5-35817184-35817843,chr3-20009001-20009431,0.8612165744572715
chr5-35817184-35817843,chr5-47626914-47627797,0.3765484466172989
chr5-35817184-35817843,chr2-43065449-43066540,0.688687535060279
chr5-35817184-35817843,chr1-8971379-8972599,0.40252888154297156
chr5-35817184-35817843,chr3-30859174-30860083,0.4856672438342021
chr5-35817184-35817843,chr5-22200096-22201553,0.7153839944966222
chr5-35817184-35817843,chr5-16421040-16422191,0.3577488416660617
chr5-35817184-35817843,chr2-12506305-12506724,0.36474692242477086
chr5-35817184-35817843,chr1-23277522-23279383,0.3176234781748833
chr5-35817184-35817843,chr4-12718070-12718472,0.3002345135081898
chr5-35817184-35817843,chr1-44347144-44348491,0.8580142183020909
chr5-35817184-35817843,chr2-34267858-34269229,0.38268382956026537
chr5-35817184-35817843,chr3-4612600-4613272,0.85177564273346
chr5-35817184-35817843,chr4-12002109-12003559,0.802097906156497
chr5-35817184-35817843,chr1-32146082-32146434,0.5130500221013699
chr5-35817184-35817843,chr5-12471761-12472838,0.6567877461743452
chr5-35817184-35817843,chr3-49688847-49690003,0.7420383913793911
chr2-40219221-40219673,chr2-47792155-47793054,0.8899452911110162
chr2-40219221-40219673,chr2-17845364-17846461,0.5794930534599909
chr2-40219221-40219673,chr2-23335235-23336935,0.3471580566345975
chr2-40219221-40219673,chr2-41835801-41837580,0.8914815201318624
chr2-40219221-40219673,chr5-25584529-25585607,0.644313897504642
chr2-40219221-40219673,chr3-39334882-39335370,0.8674459194329931
chr2-40219221-40219673,chr3-47321408-47322636,0.8888612326281571
chr2-40219221-40219673,chr2-7914550-7915516,0.4652557116015702
chr2-40219221-40219673,chr2-43065449-43066540,0.40205561900921205
chr2-40219221-40219673,chr1-8971379-8972599,0.3568359528081763
chr2-40219221-40219673,chr4-6654237-6654921,0.8330241514279191
chr2-40219221-40219673,chr5-37898446-37899840,0.7170363098502184
chr2-40219221-40219673,chr3-32288562-32289871,0.38642844429160594
chr2-40219221-40219673,chr4-30193243-30195086,0.41928838564802773
chr2-40219221-40219673,chr1-28948416-28950016,0.46663701466644125
chr2-40219221-40219673,chr3-30859174-30860083,0.3323641730438741
chr2-40219221-40219673,chr5-22200096-22201553,0.40434264708706485
chr2-40219221-40219673,chr1-5965050-5965362,0.4038285561689433
chr2-40219221-40219673,chr2-12506305-12506724,0.8620975663469064
chr2-40219221-40219673,chr1-23277522-23279383,0.4323873365409769
chr2-40219221-40219673,chr4-12718070-12718472,0.735393334792184
chr2-40219221-40219673,chr5-32378291-32380124,0.4118522674551352
chr2-40219221-40219673,chr3-17887294-17888245,0.36541830875427234
chr2-40219221-40219673,chr3-36703247-36704819,0.5555010452917952
chr2-40219221-40219673,chr2-42167719-42168559,0.47357532877859726
chr2-40219221-40219673,chr2-13105878-13107516,0.4390456606012453
chr2-40219221-40219673,chr4-14228175-14228720,0.39130998791794286
chr2-40219221-40219673,chr1-33114689-33115785,0.3201846033507382
chr2-40219221-40219673,chr4-43060836-43062219,0.7161583132186935
chr2-40219221-40219673,chr3-7041495-7042322,0.41026726257673996
chr2-40219221-40219673,chr3-49688847-49690003,0.40374239464168366
chr2-40219221-40219673,chr4-13344096-13344693,0.4995158262982623
chr4-32943512-32945296,chr3-33049003-33050793,0.8503051567484214
chr4-32943512-32945296,chr4-3428388-3429234,0.5425738700429847
chr4-32943512-32945296,chr5-11959014-11960511,0.7844721959794263
chr4-32943512-32945296,chr4-21193880-21194395,0.7637939980895307
chr4-32943512-32945296,chr2-45738553-45739529,0.550043308510562
chr4-32943512-32945296,chr4-29563547-29565137,0.48835027536563536
chr4-32943512-32945296,chr3-14187277-14188581,0.8710706295810908
chr4-32943512-32945296,chr4-45500529-45502140,0.7499972762345323
chr4-32943512-32945296,chr2-41835801-41837580,0.3995421095281487
chr4-32943512-32945296,chr5-38049111-38049527,0.31134607364681893
chr4-32943512-32945296,chr1-11788678-11789398,0.7526947483101014
chr4-32943512-32945296,chr1-49170987-49171834,0.7752631095957665
chr4-32943512-32945296,chr5-47626914-47627797,0.8868802856593134
chr4-32943512-32945296,chr5-13722094-13723779,0.5481238466403097
chr4-32943512-32945296,chr2-7914550-7915516,0.5722576574783473
chr4-32943512-32945296,chr2-43065449-43066540,0.7516985423841824
chr4-32943512-32945296,chr1-8971379-8972599,0.6455833505820985
chr4-32943512-32945296,chr3-30859174-30860083,0.7197247229412549
chr4-32943512-32945296,chr5-22200096-22201553,0.6389765304317881
chr4-32943512-32945296,chr4-42878167-42879764,0.7248869307435439
chr4-32943512-32945296,chr1-19273392-19275112,0.3902063601999763
chr4-32943512-32945296,chr2-41038963-41040454,0.5944796776522612
chr4-32943512-32945296,chr2-40280002-40281338,0.8130767020125607
chr4-32943512-32945296,chr5-16421040-16422191,0.8061832737625583
chr4-32943512-32945296,chr5-6674719-6676167,0.36136427925853004
chr4-32943512-32945296,chr3-34436048-34437014,0.5441774750437779
chr4-32943512-32945296,chr5-32378291-32380124,0.5084817848271495
chr4-32943512-32945296,chr3-25435642-25436244,0.7079396559147892
chr4-32943512-32945296,chr2-34267858-34269229,0.43242282225379425
chr4-32943512-32945296,chr2-35109026-35109488,0.43524159379617544
chr4-32943512-32945296,chr1-33114689-33115785,0.583069947795847
chr4-32943512-32945296,chr4-12002109-12003559,0.36742035201216694
chr4-32943512-32945296,chr1-18395683-18396043,0.7579714913068423
chr3-11642490-11643200,chr4-21193880-21194395,0.6515278072356567
chr3-11642490-11643200,chr4-29563547-29565137,0.6686853922666657
chr3-11642490-11643200,chr4-3669995-3670703,0.3737423501499065
chr3-11642490-11643200,chr3-14187277-14188581,0.7904787252528952
chr3-11642490-11643200,chr4-45500529-45502140,0.7377463389411987
chr3-11642490-11643200,chr2-15091261-15092874,0.6551143431918406
chr3-11642490-11643200,chr2-41835801-41837580,0.4175681685433172
chr3-11642490-11643200,chr2-20435721-20436916,0.7197679650156488
chr3-11642490-11643200,chr4-35561725-35562220,0.6010619971067729
chr3-11642490-11643200,chr5-25584529-25585607,0.57671736237136
chr3-11642490-11643200,chr4-45556780-45558044,0.7892539758286508
chr3-11642490-11643200,chr1-11788678-11789398,0.7556596474055064
chr3-11642490-11643200,chr3-15881728-15883690,0.3941718485747061
chr3-11642490-11643200,chr1-8971379-8972599,0.8294356418261228
chr3-11642490-11643200,chr4-6654237-6654921,0.5222107660759767
chr3-11642490-11643200,chr3-32288562-32289871,0.8340899979756837
chr3-11642490-11643200,chr5-37093880-37095092,0.7373198114867476
chr3-11642490-11643200,chr4-30193243-30195086,0.4422024469739585
chr3-11642490-11643200,chr2-24477595-24479291,0.4952820259439052
chr3-11642490-11643200,chr3-30859174-30860083,0.42346975162962275
chr3-11642490-11643200,chr3-48936136-48936653,0.5289671245308812
chr3-11642490-11643200,chr4-42878167-42879764,0.7681785512295018
chr3-11642490-11643200,chr2-40280002-40281338,0.6147028138323474
chr3-11642490-11643200,chr1-23277522-23279383,0.5961784620778224
chr3-11642490-11643200,chr2-22808811-22809740,0.46911576466711613
chr3-11642490-11643200,chr3-17887294-17888245,0.8560383150710402
chr3-11642490-11643200,chr4-13984808-13985936,0.3126144521237501
chr3-11642490-11643200,chr2-42167719-42168559,0.685506853694444
chr3-11642490-11643200,chr2-35109026-35109488,0.8853080197108589
chr3-11642490-11643200,chr4-14228175-14228720,0.5668838061669051
chr3-11642490-11643200,chr1-33114689-33115785,0.7006787843561699
chr3-11642490-11643200,chr3-7041495-7042322,0.816658085870851
chr3-11642490-11643200,chr5-12471761-12472838,0.5851062656279308
chr3-11642490-11643200,chr2-6320385-6321406,0.331308927155843
chr3-11642490-11643200,chr3-49688847-49690003,0.5814769870063725
chr3-11642490-11643200,chr1-18395683-18396043,0.8666002403263038
chr2-47792155-47793054,chr3-33049003-33050793,0.78723852047379
chr2-47792155-47793054,chr5-11959014-11960511,0.38595165446641677
chr2-47792155-47793054,chr2-17845364-17846461,0.7676079520872205
chr2-47792155-47793054,chr2-15091261-15092874,0.5144134711569432
chr2-47792155-47793054,chr4-35561725-35562220,0.3833177370956983
chr2-47792155-47793054,chr4-45556780-45558044,0.7207512384601842
chr2-47792155-47793054,chr3-39334882-39335370,0.7232126064403266
chr2-47792155-47793054,chr5-47626914-47627797,0.30243955796859845
chr2-47792155-47793054,chr3-47321408-47322636,0.5952157959738388
chr2-47792155-47793054,chr1-8971379-8972599,0.5744883192892598
chr2-47792155-47793054,chr4-6654237-6654921,0.614304178150644
chr2-47792155-47793054,chr5-44156515-44157239,0.3453091188369349
chr2-47792155-47793054,chr3-32288562-32289871,0.6518025739887728
chr2-47792155-47793054,chr4-34598017-34598898,0.4651459859806176
chr2-47792155-47793054,chr4-30193243-30195086,0.5385161936733415
chr2-47792155-47793054,chr1-28948416-28950016,0.6585454808410889
chr2-47792155-47793054,chr4-42878167-42879764,0.6768847935060017
chr2-47792155-47793054,chr5-16421040-16422191,0.4688810823708241
chr2-47792155-47793054,chr1-5965050-5965362,0.36037657635703263
chr2-47792155-47793054,chr4-12718070-12718472,0.6734901274754365
chr2-47792155-47793054,chr3-17887294-17888245,0.35156641603705774
chr2-47792155-47793054,chr1-44347144-44348491,0.7515147757784046
chr2-47792155-47793054,chr3-36703247-36704819,0.7885985473807029
chr2-47792155-47793054,chr2-13105878-13107516,0.8720541259959615
chr2-47792155-47793054,chr1-24448674-24450556,0.4052262749909773
chr2-47792155-47793054,chr3-7041495-7042322,0.5445085645670059
chr2-47792155-47793054,chr1-32146082-32146434,0.33424328016423205
chr2-47792155-47793054,chr5-12471761-12472838,0.30678785146398774
chr2-47792155-47793054,chr2-6320385-6321406,0.8151964048486526
chr2-47792155-47793054,chr4-13344096-13344693,0.8094009306451917
chr3-33049003-33050793,chr3-14187277-14188581,0.4105917813832264
chr3-33049003-33050793,chr4-35561725-35562220,0.32527681177637857
chr3-33049003-33050793,chr3-49715250-49716042,0.339941018640648
chr3-33049003-33050793,chr1-12910049-12911305,0.862605135293159
chr3-33049003-33050793,chr4-6654237-6654921,0.7913304548082212
chr3-33049003-33050793,chr5-44156515-44157239,0.5883866698544022
chr3-33049003-33050793,chr5-37093880-37095092,0.3130004503105008
chr3-33049003-33050793,chr4-30193243-30195086,0.4121797836382277
chr3-33049003-33050793,chr2-24477595-24479291,0.8175905651270583
chr3-33049003-33050793,chr1-28948416-28950016,0.8439865799103803
chr3-33049003-33050793,chr3-23474685-23475517,0.6668988371941219
chr3-33049003-33050793,chr4-38876684-38878652,0.5340333790041639
chr3-33049003-33050793,chr3-30859174-30860083,0.6477169225541055
chr3-33049003-33050793,chr4-42878167-42879764,0.46799283865278707
chr3-33049003-33050793,chr1-19273392-19275112,0.6382936681416181
chr3-33049003-33050793,chr2-41038963-41040454,0.4136142031565129
chr3-33049003-33050793,chr5-16421040-16422191,0.7458982032566878
chr3-33049003-33050793,chr1-5965050-5965362,0.6512932557502826
chr3-33049003-33050793,chr5-6674719-6676167,0.4566517911997886
chr3-33049003-33050793,chr5-32378291-32380124,0.8131930691711482
chr3-33049003-33050793,chr2-42167719-42168559,0.38518090391862275
chr3-33049003-33050793,chr3-4612600-4613272,0.8936652048097176
chr3-33049003-33050793,chr4-14228175-14228720,0.3339831540544031
chr3-33049003-33050793,chr1-5341747-5343542,0.844903548802072
chr3-33049003-33050793,chr2-6320385-6321406,0.670515967813288
chr3-33049003-33050793,chr3-49688847-49690003,0.3832928841814195
chr3-33049003-33050793,chr1-18395683-18396043,0.5180960526328542
chr4-3428388-3429234,chr2-45738553-45739529,0.6718546804346532
chr4-3428388-3429234,chr4-29563547-29565137,0.7710702935959188
chr4-3428388-3429234,chr2-23335235-23336935,0.7410896765585302
chr4-3428388-3429234,chr2-20435721-20436916,0.7084385122480797
chr4-3428388-3429234,chr5-25584529-25585607,0.7778970436346659
chr4-3428388-3429234,chr4-45556780-45558044,0.6945720019878234
chr4-3428388-3429234,chr1-11788678-11789398,0.8234093398666007
chr4-3428388-3429234,chr5-13722094-13723779,0.4754774357138255
chr4-3428388-3429234,chr1-8971379-8972599,0.31447780423107585
chr4-3428388-3429234,chr5-37093880-37095092,0.6086268738867187
chr4-3428388-3429234,chr4-30193243-30195086,0.4128453075515802
chr4-3428388-3429234,chr1-28948416-28950016,0.46110779708307414
chr4-3428388-3429234,chr3-23474685-23475517,0.3882805080867555
chr4-3428388-3429234,chr5-22200096-22201553,0.466570833768994
chr4-3428388-3429234,chr2-40280002-40281338,0.5049136013359821
chr4-3428388-3429234,chr5-16421040-16422191,0.3264404367553654
chr4-3428388-3429234,chr1-5965050-5965362,0.840968366030884
chr4-3428388-3429234,chr5-6674719-6676167,0.5196978075697742
chr4-3428388-3429234,chr2-22808811-22809740,0.6733249257826965
chr4-3428388-3429234,chr1-44347144-44348491,0.5242228423199213
chr4-3428388-3429234,chr3-36703247-36704819,0.6548239638660984
chr4-3428388-3429234,chr4-14228175-14228720,0.4803587371067135
chr4-3428388-3429234,chr1-5341747-5343542,0.6068806166076635
chr4-3428388-3429234,chr4-43060836-43062219,0.7385421211024366
chr4-3428388-3429234,chr4-12002109-12003559,0.8543750269432775
chr4-3428388-3429234,chr2-6320385-6321406,0.7558710720832946
chr5-11959014-11960511,chr4-35561725-35562220,0.8056138028602011
chr5-11959014-11960511,chr5-25584529-25585607,0.5832984412477696
chr5-11959014-11960511,chr1-11788678-11789398,0.5212525024685436
chr5-11959014-11960511,chr1-49170987-49171834,0.8784790397432636
chr5-11959014-11960511,chr3-49715250-49716042,0.866010114203666
chr5-11959014-11960511,chr2-28891752-28893003,0.3011971368038907
chr5-11959014-11960511,chr5-13722094-13723779,0.7398878807545495
chr5-11959014-11960511,chr5-1769598-1770661,0.461077477279081
chr5-11959014-11960511,chr5-44156515-44157239,0.8725844454845819
chr5-11959014-11960511,chr5-37093880-37095092,0.4135746209914807
chr5-11959014-11960511,chr4-45066131-45067685,0.6021215614530218
chr5-11959014-11960511,chr2-24477595-24479291,0.5268418702020913
chr5-11959014-11960511,chr4-42878167-42879764,0.6648996681020878
chr5-11959014-11960511,chr1-19273392-19275112,0.8100817702977638
chr5-11959014-11960511,chr3-36703247-36704819,0.8797623357549706
chr5-11959014-11960511,chr3-4612600-4613272,0.857994014578789
chr5-11959014-11960511,chr4-12002109-12003559,0.5384402922798808
