	celltype1	manual_annotation	leiden_v1_r0.5	leiden_v2_r0.7
mt-nd1	optic_cup	unassigned	0	0
nbeaa	differentiating_neurons	unassigned	1	1
fbln2	notochord	unassigned	3	5
efnb2b	neural_optic	unassigned	0	0
bmp5	enteric_neurons	unassigned	3	5
tspan17	spinal_cord	unassigned	1	1
celsr3	differentiating_neurons	unassigned	2	6
rorab	hatching_gland	unassigned	1	1
rarab	tail_bud	unassigned	0	0
greb1	NMPs	unassigned	0	2
tdh2	hematopoietic_vasculature	unassigned	6	7
cachd1	midbrain_hindbrain_boundary	unassigned	0	0
dennd5b	neurons	unassigned	1	1
klhl5	hatching_gland	unassigned	5	4
adcy5	lateral_plate_mesoderm	unassigned	0	0
si:ch73-281f12.4	hematopoietic_vasculature	unassigned	6	7
mthfd1l	pharyngeal_arches	unassigned	0	0
bcar1	epidermis	unassigned	0	0
vwa2	muscle	unassigned	4	3
cdh11	lateral_plate_mesoderm	unassigned	0	0
mylpfb	fast_muscle	unassigned	2	8
si:ch211-247i17.1	muscle	unassigned	5	4
syne1b	floor_plate	unassigned	1	1
tnnt2a	heart_myocardium	unassigned	2	8
tuba8l2	PSM	unassigned	0	0
fto	notochord	unassigned	0	0
fli1b	hematopoietic_vasculature	unassigned	6	7
sez6b	differentiating_neurons	unassigned	2	6
MYO1D	hematopoietic_vasculature	unassigned	0	0
notch1b	neurons	unassigned	1	1
thbs3b	pharyngeal_arches	unassigned	3	5
ptpreb	muscle	unassigned	4	3
cahz	hatching_gland	unassigned	6	7
src	muscle	unassigned	4	3
ctnnal1	spinal_cord	unassigned	1	0
cdc42bpab	differentiating_neurons	unassigned	1	1
wwc3	hematopoietic_vasculature	unassigned	0	0
lhx1a	notochord	unassigned	7	9
dipk2b	hematopoietic_vasculature	unassigned	6	7
si:ch73-248e21.7	hemangioblasts	unassigned	6	7
ddr1	notochord	unassigned	0	0
myhz1.3	hematopoietic_vasculature	unassigned	2	8
pag1	hatching_gland	unassigned	1	1
tacr1a	muscle	unassigned	7	9
aldh1a3	optic_cup	unassigned	1	1
sdk2a	endocrine_pancreas	unassigned	3	5
slc4a1a	hemangioblasts	unassigned	6	7
bcas3	hatching_gland	unassigned	0	0
si:dkeyp-118a3.2	notochord	unassigned	7	9
si:dkey-49n23.1	hindbrain	unassigned	0	0
hmcn2.1	tail_bud	unassigned	0	2
sh3pxd2aa	lateral_plate_mesoderm	unassigned	3	5
efemp2a	muscle	unassigned	4	3
arhgef9b	hematopoietic_vasculature	unassigned	6	7
gli3	neurons	unassigned	1	1
FQ323119.1	notochord	unassigned	7	9
CR382300.2	NMPs	unassigned	0	2
gata1a	hemangioblasts	unassigned	6	7
col11a2	notochord	unassigned	7	9
myt1b	differentiating_neurons	unassigned	2	6
efnb1	hindbrain	unassigned	1	1
zcchc24	hematopoietic_vasculature	unassigned	0	2
scube3	pharyngeal_arches	unassigned	1	1
si:dkey-25g12.4	spinal_cord	unassigned	1	1
mfap4	hematopoietic_vasculature	unassigned	2	8
slc38a8b	notochord	unassigned	7	9
mpped2a	hematopoietic_vasculature	unassigned	0	0
krt18a.1	endocrine_pancreas	unassigned	0	11
fkbp10a	notochord	unassigned	0	0
arhgap24	notochord	unassigned	0	0
numbl	differentiating_neurons	unassigned	0	0
bmpr1ab	spinal_cord	unassigned	0	0
si:ch211-129o18.4	notochord	unassigned	7	9
myb	hemangioblasts	unassigned	6	7
tbx18	somites	unassigned	4	3
lima1a	hematopoietic_vasculature	unassigned	0	0
esrrga	NMPs	unassigned	0	2
kank1a	notochord	unassigned	0	2
npas1	neural_telencephalon	unassigned	2	8
cxxc5a	neural	unassigned	1	1
megf10	somites	unassigned	4	3
igf1rb	endoderm	unassigned	0	0
ccbe1	lateral_plate_mesoderm	unassigned	3	5
drgx	enteric_neurons	unassigned	2	6
si:ch73-208g10.1	notochord	unassigned	7	9
stmn4l	neural	unassigned	2	6
foxn3	hematopoietic_vasculature	unassigned	3	5
scml2	endoderm	unassigned	0	2
clstn2	notochord	unassigned	1	1
CABZ01021592.1	neural_crest	unassigned	2	8
gask1a	somites	unassigned	3	3
palmda	notochord	unassigned	7	9
rpl8	hemangioblasts	unassigned	0	11
col19a1.1	muscle	unassigned	4	3
rab11fip1b	hemangioblasts	unassigned	6	7
fzd8b	neural_telencephalon	unassigned	8	10
hapln1a	notochord	unassigned	1	1
exoc3l1	hematopoietic_vasculature	unassigned	6	7
pbx3b	pharyngeal_arches	unassigned	1	1
aqp1a.1	hemangioblasts	unassigned	6	7
igsf9a	neurons	unassigned	0	0
map7d1a	neurons	unassigned	1	0
shroom4	neural_floor_plate	unassigned	0	0
sost	lateral_plate_mesoderm	unassigned	3	5
gfra4a	tail_bud	unassigned	0	2
sytl4	hatching_gland	unassigned	5	4
col11a1b	pharyngeal_arches	unassigned	3	5
plxnb2a.1	pharyngeal_arches	unassigned	3	5
slc32a1	hemangioblasts	unassigned	2	6
rplp2l	hemangioblasts	unassigned	0	11
si:ch1073-394i4.1	hatching_gland	unassigned	3	5
si:rp71-81e14.2	notochord	unassigned	7	9
igsf9bb	heart_myocardium	unassigned	3	5
nkain2	differentiating_neurons	unassigned	2	6
ank2b	differentiating_neurons	unassigned	1	1
dab2ipb	notochord	unassigned	0	0
mymk	muscle	unassigned	4	3
lrp8	hatching_gland	unassigned	0	0
c1ql4a	hatching_gland	unassigned	5	4
cnmd	notochord	unassigned	7	9
rreb1b	somites	unassigned	0	2
gria3b	midbrain_hindbrain_boundary	unassigned	2	6
flrt2	epidermis	unassigned	3	5
actn4	hematopoietic_vasculature	unassigned	0	0
si:ch211-215d8.2	endocrine_pancreas	unassigned	2	6
myh9b	heart_myocardium	unassigned	3	5
fndc3ba	notochord	unassigned	0	2
myhz2	fast_muscle	unassigned	2	8
zgc:154055	hematopoietic_vasculature	unassigned	6	7
timp4.1	hatching_gland	unassigned	5	4
nr2e1	neural_telencephalon	unassigned	1	1
tgfbr3	pharyngeal_arches	unassigned	3	5
six7	optic_cup	unassigned	8	10
nrxn1a	differentiating_neurons	unassigned	2	6
lhx1b	differentiating_neurons	unassigned	2	6
si:ch211-132b12.4	floor_plate	unassigned	3	10
nfixa	heart_myocardium	unassigned	3	5
epb41l4a	differentiating_neurons	unassigned	1	1
tie1	hematopoietic_vasculature	unassigned	6	7
actc1a.1	muscle	unassigned	4	3
smad3a	PSM	unassigned	0	2
lad1	hatching_gland	unassigned	5	4
adcyap1b	differentiating_neurons	unassigned	2	6
pth3r	notochord	unassigned	7	9
afdna	hatching_gland	unassigned	0	0
myrf	heart_myocardium	unassigned	3	5
thsd7aa	differentiating_neurons	unassigned	2	6
ext1b	tail_bud	unassigned	0	2
hbae1.3	hemangioblasts	unassigned	6	7
espn	enteric_neurons	unassigned	6	7
CU457819.2	hematopoietic_vasculature	right_bottom	3	10
fbn2b	muscle	unassigned	0	2
rgs12a	muscle	unassigned	0	0
hif1al2	hemangioblasts	unassigned	6	7
hbbe3	hemangioblasts	unassigned	6	7
cblb	hematopoietic_vasculature	unassigned	0	5
bmp1a	somites	unassigned	0	2
egfl7	hematopoietic_vasculature	unassigned	6	7
dscaml1	differentiating_neurons	unassigned	2	6
si:dkey-26g8.5	hatching_gland	unassigned	5	4
FRMD5	hindbrain	unassigned	1	1
rxraa	tail_bud	unassigned	0	2
si:ch211-163l21.10	hatching_gland	unassigned	5	4
dct	hatching_gland	unassigned	2	8
scube1	differentiating_neurons	unassigned	3	5
scn8aa	enteric_neurons	unassigned	2	6
proca1	differentiating_neurons	unassigned	2	6
ca10a	heart_myocardium	unassigned	0	0
MFAP4.3	enteric_neurons	unassigned	2	8
slc20a1a	endocrine_pancreas	unassigned	6	7
or118-3	hematopoietic_vasculature	unassigned	7	9
si:dkey-217l24.1	hemangioblasts	unassigned	0	0
tcf7l1b	pharyngeal_arches	unassigned	0	0
fam49al	PSM	unassigned	0	2
slc6a9	neural_posterior	unassigned	0	0
nectin1b	somites	unassigned	0	0
meis2a.1	neurons	unassigned	1	1
nrp2a	lateral_plate_mesoderm	unassigned	3	5
syt4	enteric_neurons	unassigned	2	6
tenm1	notochord	unassigned	3	5
klf12b	hindbrain	unassigned	0	0
samd11	somites	unassigned	0	0
shisa3	pharyngeal_arches	unassigned	1	1
ptprnb	floor_plate	unassigned	1	1
efna1a	heart_myocardium	unassigned	0	0
nrp2b	lateral_plate_mesoderm	unassigned	0	0
bmpr2b	NMPs	unassigned	0	0
adgrv1	neural_telencephalon	unassigned	1	1
flt1	hematopoietic_vasculature	unassigned	6	7
si:dkey-238o14.7	spinal_cord	left_bottom	9	12
pcdh1g22	differentiating_neurons	unassigned	2	6
fam189a1	neural_floor_plate	unassigned	1	1
lef1	tail_bud	unassigned	0	2
sec16b	hatching_gland	unassigned	5	4
epha4b	neural_floor_plate	unassigned	1	1
kdr	hematopoietic_vasculature	unassigned	6	7
dchs1a	lateral_plate_mesoderm	unassigned	1	5
pou3f3b	neural_floor_plate	unassigned	1	1
capn2b	hatching_gland	unassigned	5	4
zgc:158328	somites	unassigned	0	2
slc43a1b	muscle	unassigned	4	3
paqr4b	notochord	unassigned	7	9
cxadr	neural_telencephalon	unassigned	1	1
lmx1ba	notochord	unassigned	1	5
BX284638.2	neural_posterior	unassigned	1	1
svopl	hatching_gland	unassigned	5	4
mboat2a	PSM	unassigned	0	2
vaspb	epidermis	unassigned	0	0
pbx1a	differentiating_neurons	unassigned	2	1
sbf2	hematopoietic_vasculature	unassigned	0	0
fgf10b	pronephros	unassigned	3	5
sox6	neural_crest	unassigned	0	5
mespab	PSM	unassigned	8	2
cyp2y3.1	hatching_gland	unassigned	3	10
nrip1a	muscle	unassigned	4	3
col9a1b	notochord	unassigned	7	9
plekha7b	midbrain_hindbrain_boundary	unassigned	1	1
hhatla	muscle	unassigned	4	3
zgc:92429	muscle	unassigned	4	3
si:dkeyp-100a1.6	hatching_gland	unassigned	5	4
cntn2	enteric_neurons	unassigned	2	6
vtg5	neural	unassigned	2	6
arhgap29b	tail_bud	unassigned	0	0
palm2akap2	notochord	unassigned	4	3
adamts16	endocrine_pancreas	unassigned	3	10
calcrla	hematopoietic_vasculature	unassigned	0	5
tead1b	neural_telencephalon	unassigned	0	0
atp8b1	endocrine_pancreas	unassigned	5	4
cdon	neural	unassigned	0	0
gata6	heart_myocardium	unassigned	3	5
shhb	neural_telencephalon	unassigned	8	10
vash2	PSM	unassigned	0	2
ildr2	hematopoietic_vasculature	unassigned	1	1
ncor2	endoderm	unassigned	0	0
zgc:173552	floor_plate	right_bottom	3	10
nrp1a	endoderm	unassigned	0	0
timm50	tail_bud	unassigned	0	2
gsx1	neural_floor_plate	unassigned	2	8
creb5b	lateral_plate_mesoderm	unassigned	3	5
hoxc10a	tail_bud	unassigned	0	2
rfx4	neurons	unassigned	1	1
arhgap36	pharyngeal_arches	unassigned	0	5
epb41b	hemangioblasts	unassigned	6	7
egf	notochord	unassigned	7	9
vgll3	neural_floor_plate	unassigned	1	10
CU633479.2	muscle	unassigned	4	3
syt1a	differentiating_neurons	unassigned	2	6
has2	muscle	unassigned	8	2
grb10a	hatching_gland	unassigned	0	0
piezo1	hemangioblasts	unassigned	6	7
pdgfrb	lateral_plate_mesoderm	unassigned	3	5
nhsl1a	lateral_plate_mesoderm	unassigned	1	5
lfng	neural_floor_plate	unassigned	1	1
sst2	spinal_cord	unassigned	2	8
znf385b	notochord	unassigned	7	9
pecam1	hematopoietic_vasculature	unassigned	2	8
igfbp5a	heart_myocardium	unassigned	6	7
htr1ab	notochord	unassigned	7	9
frem3	muscle	unassigned	4	3
cmlc1	heart_myocardium	unassigned	2	8
myh7ba	muscle	unassigned	4	3
tll1	NMPs	unassigned	0	2
clvs2	differentiating_neurons	unassigned	2	6
pappa2	notochord	unassigned	7	9
nr2f1b	neural_floor_plate	unassigned	2	8
fgfr3	floor_plate	unassigned	1	1
limch1a	fast_muscle	unassigned	0	3
fhl3a	hematopoietic_vasculature	unassigned	0	2
dla	enteric_neurons	unassigned	1	1
cnfn	hatching_gland	unassigned	5	4
pbx1b	heart_myocardium	unassigned	0	0
si:dkey-261l7.2	hatching_gland	unassigned	5	4
jag2b	midbrain_hindbrain_boundary	unassigned	1	1
msi1	neural_telencephalon	unassigned	1	1
grik4	PSM	unassigned	0	2
alpk3a	muscle	unassigned	4	3
srgap1a	hatching_gland	unassigned	0	0
uacab	hindbrain	unassigned	0	0
glceb	neural	unassigned	0	0
hoxa4a	neural_posterior	unassigned	0	0
phc2a	PSM	unassigned	0	2
obsl1b	muscle	unassigned	4	3
hivep2a	PSM	unassigned	0	2
pax3a	neurons	unassigned	1	1
qkia	muscle	unassigned	0	0
snd1	hatching_gland	unassigned	0	0
gpm6aa	neural_telencephalon	unassigned	2	8
foxa3	hatching_gland	unassigned	5	4
pard3ba	lateral_plate_mesoderm	unassigned	0	0
stx1b	differentiating_neurons	unassigned	2	6
gpr182	hematopoietic_vasculature	unassigned	6	7
cbfa2t2	differentiating_neurons	unassigned	0	0
si:ch73-23l24.1	notochord	unassigned	7	9
stat5a	muscle	unassigned	4	3
llgl1	hindbrain	unassigned	0	0
efemp2b	somites	unassigned	0	2
cmn	notochord	unassigned	7	9
grem2b	endocrine_pancreas	unassigned	2	8
CABZ01046432.1	hemangioblasts	unassigned	3	10
kidins220a	notochord	unassigned	0	0
ptprn2	neural_telencephalon	unassigned	1	1
atoh1a	hindbrain	unassigned	2	8
cygb1	fast_muscle	unassigned	1	1
acer2	hematopoietic_vasculature	unassigned	6	7
CR974456.1	enteric_neurons	unassigned	2	6
mpx	PSM	unassigned	6	7
fhod3b	hindbrain	unassigned	0	1
nradd	NMPs	unassigned	0	2
wscd2	enteric_neurons	unassigned	7	9
si:ch211-233h19.2	hatching_gland	unassigned	5	4
si:dkey-238i5.2	heart_myocardium	unassigned	3	5
ryr1b	muscle	unassigned	4	3
ttn.1	muscle	unassigned	4	3
pgbd5	differentiating_neurons	unassigned	2	6
ccdc85ca	neurons	unassigned	1	1
spock1	differentiating_neurons	unassigned	1	1
pcdh1g30	differentiating_neurons	unassigned	2	6
plpp3	lateral_plate_mesoderm	unassigned	1	1
ncam1a	neural_posterior	unassigned	1	1
mtss1	fast_muscle	unassigned	0	2
cyt1	epidermis	unassigned	0	0
fgf10a	tail_bud	unassigned	3	5
CABZ01081777.1	muscle	unassigned	4	3
wdfy4	notochord	unassigned	7	9
si:dkey-40c11.2	NMPs	unassigned	0	0
b4galt5	hatching_gland	unassigned	5	4
runx1t1	hemangioblasts	unassigned	6	7
zfhx3	neural_posterior	unassigned	1	1
dgkg	notochord	unassigned	7	9
tpst1	lateral_plate_mesoderm	unassigned	3	5
tcf7l2	neural_optic	unassigned	1	1
ebf3a	pharyngeal_arches	unassigned	3	5
thbs4b	somites	unassigned	4	3
BX511028.2	NMPs	unassigned	0	0
gse1	hematopoietic_vasculature	unassigned	0	0
hbbe1.3	hemangioblasts	unassigned	6	7
or111-6	enteric_neurons	unassigned	7	9
ptprt.1	optic_cup	unassigned	3	10
si:ch211-160j14.3	pharyngeal_arches	unassigned	3	5
ches1	neural_posterior	unassigned	0	0
lsp1a	endocrine_pancreas	unassigned	0	0
gap43	enteric_neurons	unassigned	2	6
dlg3	heart_myocardium	unassigned	0	0
ptmaa	spinal_cord	unassigned	0	11
lix1	neural_telencephalon	unassigned	1	1
zgc:162879	hatching_gland	unassigned	5	4
trdn	fast_muscle	unassigned	4	3
slc40a1	differentiating_neurons	unassigned	2	6
pax2b	midbrain_hindbrain_boundary	unassigned	1	1
sema3bl	notochord	unassigned	3	5
tgfb2	hatching_gland	unassigned	5	4
kif21b	differentiating_neurons	unassigned	2	6
meis2a	neurons	unassigned	1	1
sema3fa	endocrine_pancreas	unassigned	1	1
ntn5	somites	unassigned	4	3
tnnt2c	muscle	unassigned	4	3
si:ch211-169p10.1	somites	unassigned	4	3
nphp4	lateral_plate_mesoderm	unassigned	0	0
ARHGAP22	notochord	unassigned	7	9
taok3a	hemangioblasts	unassigned	6	7
frzb	hatching_gland	unassigned	8	10
CR293511.1	neural_posterior	unassigned	6	7
sh3d19	fast_muscle	unassigned	4	3
dachc	lateral_plate_mesoderm	unassigned	3	5
si:zfos-2330d3.7.1	hematopoietic_vasculature	unassigned	2	8
pou3f1	neural_floor_plate	unassigned	1	1
map4k2	hatching_gland	unassigned	5	4
hspa12a	tail_bud	unassigned	0	2
nrp1b	hematopoietic_vasculature	unassigned	6	7
gphna	differentiating_neurons	unassigned	0	0
rhag	hemangioblasts	unassigned	6	7
myom1a	endocrine_pancreas	unassigned	4	3
eml1	enteric_neurons	unassigned	1	1
six1a	lateral_plate_mesoderm	unassigned	3	5
zgc:153151	hatching_gland	unassigned	5	4
cacnb1	hatching_gland	unassigned	5	4
tlx3b	enteric_neurons	unassigned	2	6
kcnn3	spinal_cord	unassigned	4	3
nrg2a	epidermis	unassigned	0	5
ednrab	neural_crest	unassigned	1	1
adamts18	NMPs	unassigned	0	2
urod	hemangioblasts	unassigned	6	7
si:dkey-58b18.8	hemangioblasts	unassigned	5	4
zfpm2b	hematopoietic_vasculature	unassigned	6	7
pi15a	somites	unassigned	4	3
si:ch211-243g18.2	hatching_gland	unassigned	5	4
ctslb.1	hatching_gland	unassigned	5	4
synpo2b	hatching_gland	unassigned	3	10
loxl1	notochord	unassigned	7	9
tnfsf11	tail_bud	left_bottom	9	12
zfpm1	heart_myocardium	unassigned	3	5
svila	fast_muscle	unassigned	4	3
hbbe2	hemangioblasts	unassigned	6	7
chd9	hemangioblasts	unassigned	0	0
epor	hemangioblasts	unassigned	6	7
si:dkey-172h23.2	notochord	unassigned	0	2
grb10b	pharyngeal_arches	unassigned	0	0
celsr1a	spinal_cord	unassigned	0	0
crb2a	heart_myocardium	unassigned	1	1
